N,Found,KD_build_s,QT_build_s,KD_query_s,QT_query_s
1000,36,0.008802053399949727,0.018775001399990287,0.0002480605600067065,0.0005698683600076037
5000,225,0.011048318200028006,0.00915929400002824,0.00010499103998881766,4.0122080008586636e-05
10000,400,0.021171306799988087,0.019866047199957392,0.00015893492000031983,9.019115998853521e-05
25000,1024,0.16170387320003102,0.07554713100003027,0.0003790155200113077,0.00022193587999936424
50000,1936,0.28432531079997714,0.23830094140002983,0.0005036227600066922,0.000439507439996305
100000,3969,0.589764299800072,0.48057269600003566,0.0009163906399953703,0.0007467673200153513
200000,8100,1.406297226199922,0.9586574332000055,0.0018298823599889147,0.0017895634400065317
