N,Found,KD_build_s,QT_build_s,KD_query_s,QT_query_s
1000,202,0.011310228399952393,0.02512057200005984,0.00036562467999829096,0.0007667786000092747
5000,1007,0.014254905599955237,0.025008393600046475,0.0003015160799895966,0.00028878155999336743
10000,2030,0.058796195399963835,0.0863107398000011,0.00040324108000277197,0.0006362098000136029
25000,5023,0.15223816600000645,0.2516057349999755,0.0010915681200094696,0.002215310999990834
50000,10034,0.31038419559995417,0.5152625176001038,0.0018277451199992356,0.004445498680006495
100000,19960,0.9059070121999866,1.1477703209999617,0.0035135405599885415,0.013284002800000963
200000,39923,1.8870915682000031,2.674667399400005,0.007036793279994527,0.03667498840000007
