N,Found,KD_build_s,QT_build_s,KD_query_s,QT_query_s
1000,70,0.0031330151999100055,0.0027645706000384964,6.666479999694275e-05,2.8977960000702295e-05
5000,340,0.02816420240001207,0.015521289599973898,0.00017526375999295853,0.00012127696000789
10000,646,0.06672645359999478,0.05034179579997726,0.00024856887998794266,0.00019842772000629337
25000,1571,0.19197517679999693,0.11614192239999284,0.0004914739600008033,0.0006842824800060044
50000,3109,0.4076209065999592,0.366649332399993,0.0009122195199961424,0.0016263754000010525
100000,6141,0.8803617860000031,0.8804366362000564,0.0015704423200077144,0.003228578400003244
200000,12360,2.2267302143999133,2.179361261599934,0.0026159418399947752,0.01221017159999974
