N,Found,KD_build_s,QT_build_s,KD_query_s,QT_query_s
1000,394,0.006017458399992392,0.008399057800033916,0.00021224020000772727,0.0001360428800126101
5000,2039,0.013319315000035203,0.01853616579996924,0.000496065120005369,0.0004228929199962295
10000,4082,0.03082369439998729,0.06611870760002603,0.000928888319995167,0.000941131879999375
25000,10131,0.163707222200037,0.14352729079996607,0.0023125893600081326,0.002410836560002281
50000,20273,0.30141021080003155,0.3715037081999526,0.003824300719998064,0.005677751079983864
100000,40574,0.7576120931999413,0.7499473969999599,0.007918694960007997,0.016173493040014364
200000,81286,1.9711521142000947,1.6798777169999994,0.015223431280010118,0.045166879599992174
