N,Found,KD_build_s,QT_build_s,KD_query_s,QT_query_s
1000,265,0.011933832200020334,0.024771084199983306,0.0002758318399901327,0.0003107965599974705
5000,1358,0.015894903799971872,0.017940154999951118,0.0004218592400047783,0.0004000815199924545
10000,2790,0.032676401599928795,0.03927635579993875,0.0007208992399955605,0.0007603988800019579
25000,7054,0.15449840179999227,0.17267042179996678,0.00160622383998998,0.0025233182800002392
50000,14146,0.37165520120001927,0.3834792066000318,0.0029812746000061454,0.007572450399993613
100000,28359,0.8486165715999959,0.9321590088000449,0.005943939680009862,0.022979123600007374
200000,56710,2.1873985386000188,2.0861839765999775,0.010738021160004791,0.05377066668000226
