N,Found,KD_build_s,QT_build_s,KD_query_s,QT_query_s
1000,501,0.010242889399978593,0.01897448640006587,0.0004515851200085308,0.0004774648799866554
5000,2514,0.02549187320009878,0.017643575400052215,0.0006292625199967007,0.0006069116400067287
10000,5018,0.051881066199985074,0.06576096719991256,0.0011779878399920563,0.0012471058800019817
25000,12539,0.16092445560002488,0.13704908659997272,0.002540727759997026,0.0031504916000085355
50000,25072,0.28109157240010063,0.3675699063999673,0.005340947200011215,0.006174815040003522
100000,50170,0.700832604399966,0.7548311153999748,0.010671486239989463,0.015169140680018244
200000,100275,1.73458358959997,1.3803827381998872,0.019697363879995468,0.031803361679994854
