N,Found,KD_build_s,QT_build_s,KD_query_s,QT_query_s
1000,368,0.008941968600038309,0.011610424799982866,0.00041643795999334537,0.00044438800000534695
5000,1868,0.01364589499999056,0.025680360399974234,0.0004716357199868071,0.0006465558399941075
10000,3772,0.028140144600001804,0.08496342579992415,0.0008429476400033309,0.0014632739199896606
25000,9499,0.1497701946000234,0.2585927348000496,0.002021745040001406,0.0044705291999980554
50000,18724,0.3522060416000386,0.6060027586000615,0.003962241919989538,0.015589377079986661
100000,37524,0.9174472329999844,1.4814188727999862,0.00869680712000445,0.0398106798399931
200000,75027,2.2207977943999593,3.684990818799952,0.018315614679995634,0.09427529771999617
