N,Build_KD,Build_QT,Query_KD,Query_QT,Found
1000,0.007152949200826697,0.015839085499465,0.00014197270007571206,9.344478006823918e-05,92
5000,0.018807616599951872,0.02496807200004696,0.0004226870799902826,0.00025173037996864875,492
10000,0.04487798299960559,0.06339890139934141,0.0007406344798801,0.0005783287798112725,986
25000,0.17292929100149196,0.23170151240046835,0.0029979073800495823,0.001511204179696506,2506
50000,0.4081515632002265,0.5439215970989608,0.005710255979938666,0.004367722339957254,4911
100000,0.8172915672010277,1.1088407459996232,0.007695593739917966,0.00918092207968584,9707
200000,1.9696538267002324,2.802330783198704,0.01692325191979762,0.025891647560492857,19492
