N,Build_KD,Build_QT,Query_KD,Query_QT,Found
1000,0.005467623000004096,0.00841028993333263,5.7063229996856533e-05,6.81965033315161e-05,36
5000,0.01103050056669114,0.006506517133311717,9.26097966718468e-05,5.5125259999234305e-05,218
10000,0.024389225199956854,0.014498903999992763,0.00016848389999722711,7.153285998356295e-05,432
25000,0.06942454366617312,0.05446534699998059,0.0004066832000413948,0.00020966993330754727,1024
50000,0.1741135086661719,0.11422529199990095,0.0005442002666920114,0.0005175799666176317,1936
75000,0.27616824466713297,0.2132822016665159,0.0006352623666316503,0.0008732622332900064,2916
100000,0.39737943833339767,0.34154732133356447,0.0011020055333574418,0.001681638333381367,3969
200000,1.1955928293330846,1.2625371603335225,0.002255498633348907,0.007818784600021899,8100
500000,4.177219256333653,2.6064703760002885,0.004893769033333229,0.014677770633352339,20164
