N,Build_KD,Build_QT,Query_KD,Query_QT,Found
1000,0.007487461502023507,0.01415423180005746,0.00013991571991937233,0.0001882344199111685,103
5000,0.025775689801957925,0.04333421209958033,0.0005159562001063023,0.0004888593200303149,504
10000,0.05202075810011593,0.08351246119927964,0.0008413758198730647,0.0008409193401166703,980
25000,0.16142231860067113,0.3302172581010382,0.0026627694797934963,0.0022454236200428563,2473
50000,0.3639076300001761,0.7273474453009839,0.004625142180302646,0.007019718720111996,4923
100000,0.8307096592012385,1.7333619143006218,0.00808614352004952,0.016921163779916242,9975
200000,1.9453741838988208,3.916603502900398,0.017971004379942312,0.03365034192014718,19957
