N,Build_KD,Build_QT,Query_KD,Query_QT,Found
1000,0.009055479100061348,0.019369283599371557,0.00010102537969942204,0.00011711933999322356,50
5000,0.02605688539915718,0.04515103489902685,0.0004866773998946883,0.0002302346602664329,244
10000,0.04645871530083241,0.10754463210032554,0.0007800308000878431,0.0003001720800239127,488
25000,0.19682373739924514,0.41882201860280477,0.001922384899953613,0.0014138603399624116,1240
50000,0.4073254541995993,0.920439260899002,0.0038650005200179293,0.0024775261197646616,2447
100000,0.848827228799928,1.9588107036986913,0.007252183880045776,0.00701705914005288,4925
200000,2.270094772399898,5.185114261400304,0.018861188040318666,0.01974714573996607,9923
