N,Build_KD,Build_QT,Query_KD,Query_QT,Found
1000,0.008553074899828062,0.012079616100527346,0.00012034859988489188,0.0001221888999862131,64
5000,0.018059118599194336,0.023870399697625545,0.0003704579398618079,0.00018711262018769048,313
10000,0.057883362600841794,0.07392655579969869,0.0006598349995329043,0.00040867772011552,622
25000,0.16722396299883258,0.2297462333001022,0.002497782360151177,0.0011649525200482457,1608
50000,0.3626591873995494,0.4686061773005349,0.003964500499860151,0.0022219873400172218,3176
100000,1.0141040820999478,1.3975247058988316,0.008493024820054415,0.009735498539957917,6258
200000,2.463602818700019,3.1427584333985576,0.016811673979973425,0.01922636108036386,12366
