N,Build_KD,Build_QT,Query_KD,Query_QT,Found
1000,0.006195583066619293,0.007947769899995667,8.245223666866271e-05,7.337936667075458e-05,104
5000,0.012686272566619057,0.011807367600037347,0.00022590291666347185,0.0001066996666668274,475
10000,0.028584437999961666,0.02967495129996678,0.0003596001299956697,0.0002419594999992114,986
25000,0.08239009966625115,0.08762645066659995,0.0006299562333272964,0.0006901175000166404,2385
50000,0.20291683966691684,0.1968153223333502,0.0011207859333201972,0.0015838226999524826,4778
75000,0.3247043146663297,0.31102124233317835,0.0015437472333360348,0.002721248733359971,7250
100000,0.5048672670000087,0.4394225543334566,0.0019055343999449784,0.004822446966682037,9644
200000,1.295616360666827,1.0490672103333054,0.0032578694333399954,0.014999602066685233,19484
500000,4.553814443666852,3.149975042666483,0.010521665666722886,0.04121064370004509,48006
