N,Build_KD,Build_QT,Query_KD,Query_QT,Found
1000,0.009733038700505858,0.0160281163007312,0.00011258699989411981,0.00014930477947928015,40
5000,0.01858209239944699,0.021667421299935086,0.0001613016599731054,0.00032653214017045677,203
10000,0.05276164710012381,0.06438584749994333,0.00046510928004863674,0.0005587374200695194,405
25000,0.14911439759962378,0.15925317290020757,0.001622475719632348,0.0006285806803498418,999
50000,0.388677049800026,0.4730825708014891,0.003847562539885984,0.002058085859898711,1984
100000,0.9485751553998852,1.0766695443016943,0.00587125370031572,0.004255919620045461,4031
200000,2.533256057000108,2.8868012544997326,0.01606197234039428,0.013723692700004902,8007
